有價證券代號,名稱,上市日,產業別
5347,世界,1998/03/25,半導體業
5348,系通,1998/04/29,通信網路業
5349,先豐,1998/06/25,電子零組件業
5351,鈺創,1998/05/15,半導體業
5353,台林,1998/05/18,通信網路業
5355,佳總,1998/06/23,電子零組件業
5356,協益,1998/07/20,電腦及週邊設備業
5364,力麗店,2013/08/26,觀光事業
5371,中光電,1999/01/20,光電業
5381,合正,1999/03/19,電子零組件業
5383,金利,1999/04/14,其他電子業
5386,青雲,1999/05/13,電腦及週邊設備業
5392,應華,1999/06/14,光電業
5398,慕康生醫,1999/10/11,其他業
5403,中菲,1999/10/15,資訊服務業
5410,國眾,1999/11/26,資訊服務業
5425,台半,2000/02/21,半導體業
5426,振發,2000/02/09,電腦及週邊設備業
5432,達威,2000/03/21,光電業
5438,東友,2000/06/17,電腦及週邊設備業
5439,高技,2000/06/26,電子零組件業
5443,均豪,1998/02/09,光電業
5450,寶聯通,2000/08/22,電腦及週邊設備業
5452,佶優,2000/10/02,其他電子業
5455,昇益,2000/10/19,建材營造業
5457,宣德,2000/09/29,電子零組件業
5460,同協,2000/09/28,電子零組件業
5464,霖宏,2000/11/08,電子零組件業
5465,富驊,2000/11/08,電腦及週邊設備業
5468,凱鈺,2001/01/17,半導體業
5474,聰泰,2001/03/20,電腦及週邊設備業
5475,德宏,2001/01/16,電子零組件業
5478,智冠,2001/03/29,文化創意業
5481,新華,2001/04/27,電子零組件業
5483,中美晶,2001/03/02,半導體業
5487,通泰,2001/02/20,半導體業
5488,松普,2001/03/12,電子零組件業
5489,彩富,2001/03/12,其他電子業
5490,同亨,2001/05/14,電腦及週邊設備業
5493,三聯,2001/05/03,其他電子業
5498,凱崴,2001/03/29,電子零組件業
5508,永信建,1998/05/13,建材營造業
5511,德昌,1998/12/09,建材營造業
5512,力麒,1998/12/04,建材營造業
5514,三豐,1998/12/29,建材營造業
5516,雙喜,1999/03/23,建材營造業
5520,力泰,1999/10/27,建材營造業
5523,豐謙,1999/12/27,建材營造業
5529,志嘉,1996/01/12,建材營造業
5530,龍巖,2000/10/04,其他業
5536,聖暉,2010/11/10,其他電子業
5543,崇佑-KY,2016/05/09,建材營造業
5601,台聯櫃,1994/11/24,航運業
5603,陸海,1997/01/25,航運業
5604,中連貨,1997/05/22,航運業
5609,中菲行,2001/10/15,航運業
5701,劍湖山,1998/03/12,觀光事業
5703,亞都,1999/06/15,觀光事業
5704,老爺知,1999/12/21,觀光事業
5820,日盛金,2002/02/05,金融保險業
5864,致和證,2018/04/02,金融保險業
5878,台名,2014/10/28,金融保險業
5902,德記,1998/02/07,貿易百貨業
5903,全家,2002/02/25,貿易百貨業
5904,寶雅,2002/09/06,貿易百貨業
5905,南仁湖,2003/06/17,貿易百貨業
6015,宏遠證,1996/07/25,金融保險業
6016,康和證,1996/12/04,金融保險業
6020,大展證,2003/01/23,金融保險業
6021,大慶證,2003/04/21,金融保險業
6023,元大期,2007/11/28,金融保險業
6026,福邦證,2016/01/27,金融保險業
6101,寬魚國際,2001/03/29,文化創意業
6103,合邦,2001/05/07,半導體業
6104,創惟,2001/05/22,半導體業
6109,亞元,2001/07/26,通信網路業
6111,大宇資,2001/08/08,文化創意業
6113,亞矽,2001/08/10,電子通路業
6114,久威,2001/09/27,電子零組件業
6118,建達,2001/10/25,電子通路業
6121,新普,2001/11/27,電腦及週邊設備業
6122,擎邦,2000/07/14,電機機械
6123,上奇,2002/01/23,電腦及週邊設備業
6124,業強,2002/03/19,電子零組件業
6125,廣運,2002/01/23,光電業
6126,信音,2002/01/18,電子零組件業
6127,九豪,2002/01/10,電子零組件業
6129,普誠,2001/12/25,半導體業
6130,星寶國際,2002/03/26,生技醫療業
6134,萬旭,2002/01/08,電子零組件業
6138,茂達,2002/01/18,半導體業
6140,訊達,2002/02/04,資訊服務業
6143,振曜,2002/01/28,通信網路業
6144,得利影,2002/01/23,文化創意業
6146,耕興,2002/01/23,其他電子業
6147,頎邦,2002/01/31,半導體業
6148,驊宏資,2002/02/01,資訊服務業
6150,撼訊,2002/03/11,電腦及週邊設備業
6151,晉倫,2002/02/25,其他電子業
6154,順發,2002/02/18,電子通路業
6156,松上,2002/02/19,電子零組件業
6158,禾昌,2002/02/19,電子零組件業
6160,欣技,2002/03/01,電腦及週邊設備業
6161,捷波,2002/03/01,電腦及週邊設備業
6163,華電網,2002/03/19,通信網路業
6167,久正,2002/03/26,光電業
6169,昱泉,2002/03/22,文化創意業
6170,統振,2002/04/16,通信網路業
6171,亞銳士,2002/04/22,建材營造業
6173,信昌電,2002/04/19,電子零組件業
6174,安碁,2002/05/02,電子零組件業
6175,立敦,2002/06/10,電子零組件業
6179,亞通,2002/05/17,其他業
6180,橘子,2002/05/21,文化創意業
6182,合晶,2002/05/16,半導體業
6185,幃翔,2002/08/09,電子零組件業
6186,新潤,2002/08/02,建材營造業
6187,萬潤,2002/09/27,其他電子業
6188,廣明,2002/08/27,電腦及週邊設備業
6190,萬泰科,1998/02/04,通信網路業
6194,育富,2002/12/05,電子零組件業
6195,詩肯,2002/10/21,貿易百貨業
6198,凌泰,2002/12/26,半導體業
6199,天品,2016/10/07,其他業
6203,海韻電,2002/12/26,電子零組件業
6204,艾華,2002/11/13,電子零組件業
6207,雷科,2002/12/23,電子零組件業
6208,日揚,2002/12/23,電子零組件業
6210,慶生,2003/02/14,電子零組件業
6212,理銘,2002/12/26,建材營造業
6217,中探針,2003/01/09,電子零組件業
6218,豪勉,2003/01/14,通信網路業
6219,富旺,2003/02/26,建材營造業
6220,岳豐,2003/01/09,電子零組件業
6221,晉泰,2003/01/06,資訊服務業
6222,上揚,2003/01/09,光電業
6223,旺矽,2003/01/06,半導體業
6227,茂綸,2003/01/14,電子通路業
6228,全譜,2003/01/21,電腦及週邊設備業
6229,研通,2003/01/14,半導體業
6231,系微,2003/01/23,資訊服務業
6233,旺玖,2003/02/20,半導體業
6234,高僑,2003/03/12,光電業
6236,康呈,2003/03/31,其他業
6237,驊訊,2003/04/21,半導體業
6238,勝麗,2003/03/31,其他電子業
6240,松崗,2003/05/30,資訊服務業
6241,易通展,2003/04/08,通信網路業
6242,立康,2003/04/23,生技醫療業
6244,茂迪,2003/05/15,光電業
6245,立端,2003/05/19,通信網路業
6246,臺龍,2003/06/18,光電業
6247,淇譽電,2003/07/04,其他電子業
6248,沛波,2003/09/03,鋼鐵工業
6259,百徽,2003/09/17,電子零組件業
6261,久元,2004/03/29,半導體業
6263,普萊德,2003/09/17,通信網路業
6264,富裔,2004/02/24,建材營造業
6265,方土昶,2003/10/24,電子通路業
6266,泰詠,2004/04/29,電子零組件業
6270,倍微,2003/09/17,電子通路業
6274,台燿,2003/12/18,電子零組件業
6275,元山,2004/12/23,其他電子業
6276,安鈦克,2003/10/30,電腦及週邊設備業
6279,胡連,2003/11/26,電子零組件業
6284,佳邦,2004/06/29,電子零組件業
6287,元隆,2003/10/02,半導體業
6290,良維,2005/06/03,電子零組件業
6291,沛亨,2004/01/28,半導體業
6292,迅德,2003/11/26,電子零組件業
6294,智基,2004/01/13,文化創意業
6404,通訊-KY,2014/07/23,資訊服務業
6411,晶焱,2014/03/11,半導體業
6417,韋僑,2015/10/08,通信網路業
6418,詠昇,2019/02/18,電子零組件業
6419,京晨科,2014/12/29,光電業
6425,易發,2019/01/18,電機機械
6426,統新,2014/12/17,通信網路業
6432,今展科,2015/05/20,電子零組件業
